Indexcd,Idxtrd01,Idxtrd02,Idxtrd03,Idxtrd04,Idxtrd05,Idxtrd06,Idxtrd07,Idxtrd08,Idxtrd09
000300,2020/1/2,4121.349,4172.656,4121.349,4152.241,1821167.72,27010553.2,1.3587,沪深300
000300,2020/1/3,4161.219,4164.299,4131.864,4144.965,1428262.44,21521628.83,-0.1752,沪深300
000300,2020/1/6,4120.521,4170.638,4102.38,4129.295,1753099.53,25018207.13,-0.378,沪深300
000300,2020/1/7,4137.402,4161.25,4135.097,4160.227,1394890.31,19638905.97,0.7491,沪深300
000300,2020/1/8,4139.632,4149.813,4101.98,4112.317,1675858.5,21240626.39,-1.1516,沪深300
000300,2020/1/9,4145.535,4165.657,4143.592,4164.37,1368863.24,20015035.29,1.2658,沪深300
000300,2020/1/10,4177.578,4180.977,4148.482,4163.185,1130317.19,17782741.37,-0.0285,沪深300
000300,2020/1/13,4166.925,4203.988,4148.601,4203.988,1196919.82,19979548.97,0.9801,沪深300
000300,2020/1/14,4215.158,4223.508,4188.081,4189.886,1293207.83,19622126.34,-0.3354,沪深300
000300,2020/1/15,4186.881,4193.869,4150.88,4166.734,1046331.36,16308193.06,-0.5526,沪深300
000300,2020/1/16,4174.817,4175.294,4142.18,4149.043,1002676.42,15624250.58,-0.4246,沪深300
000300,2020/1/17,4162.194,4177.028,4141.645,4154.853,987256.82,16659159.16,0.14,沪深300
000300,2020/1/20,4170.737,4185.963,4149.488,4185.83,1224091.47,20269228.74,0.7456,沪深300
000300,2020/1/21,4165.02,4165.02,4113.325,4114.309,1305275.07,20458688.05,-1.7086,沪深300
000300,2020/1/22,4093.801,4141.177,4046.487,4131.931,1267587.63,20813615.08,0.4283,沪深300
000300,2020/1/23,4093.323,4103.524,3972.393,4003.901,1603576.03,25040935.77,-3.0986,沪深300
000300,2020/2/3,3639.909,3732.157,3639.909,3688.358,1575596.47,24330310.54,-7.8809,沪深300
000300,2020/2/4,3652.004,3786.863,3652.004,3785.638,2139333.28,29816576.76,2.6375,沪深300
000300,2020/2/5,3801.099,3866.011,3781.613,3828.527,1749255.24,26404292.09,1.1329,沪深300
000300,2020/2/6,3841.754,3914.915,3806.96,3899.775,1764622.35,26282008.85,1.861,沪深300
000300,2020/2/7,3879.553,3899.884,3849.713,3899.869,1517317.59,23750881.63,0.0024,沪深300
000300,2020/2/10,3872.374,3920.167,3861.007,3916.005,1484069.69,22962544.19,0.4138,沪深300
000300,2020/2/11,3926.42,3970.522,3915.708,3952.464,1434416.74,21930711.94,0.931,沪深300
000300,2020/2/12,3945.666,3984.433,3940.667,3984.433,1267103.21,20077670.66,0.8088,沪深300
000300,2020/2/13,3985.876,3999.55,3950.142,3959.919,1450018.43,22860596.48,-0.6152,沪深300
000300,2020/2/14,3954.234,4001.563,3954.023,3987.734,1432398.03,22289507.36,0.7024,沪深300
000300,2020/2/17,3999.651,4077.446,3999.651,4077.424,1827789.69,27306781.73,2.2491,沪深300
000300,2020/2/18,4069.832,4076.388,4027.786,4057.511,1632362.2,24255251.73,-0.4884,沪深300
000300,2020/2/19,4049.586,4085.17,4042.845,4051.311,1690464.41,25755453.57,-0.1528,沪深300
000300,2020/2/20,4062.897,4148.529,4055.811,4144.656,2122326.24,31083558.92,2.3041,沪深300
000300,2020/2/21,4134.875,4184.438,4130.168,4149.49,2172136.04,32656400.36,0.1166,沪深300
000300,2020/2/24,4131.836,4149.01,4097.175,4132.839,2128693.03,32638780.06,-0.4013,沪深300
000300,2020/2/25,4066.302,4126.708,4020.908,4123.854,2441678.31,37221371.7,-0.2174,沪深300
000300,2020/2/26,4070.099,4132.782,4061.125,4073.015,2610940.61,36602241.79,-1.2328,沪深300
000300,2020/2/27,4084.078,4110.528,4067.441,4084.876,1812909.81,28205020.64,0.2912,沪深300
000300,2020/2/28,3988.727,4031.145,3928.066,3940.049,2302750.93,33035890.73,-3.5454,沪深300
000300,2020/3/2,3968.844,4092.539,3968.844,4069.666,2193135.59,31742620.55,3.2897,沪深300
000300,2020/3/3,4125.136,4147.653,4067.909,4091.362,2193697.77,33080258.46,0.5331,沪深300
000300,2020/3/4,4078.5,4115.262,4060.729,4115.052,1824247.3,28178486.38,0.579,沪深300
000300,2020/3/5,4150.21,4215.851,4127.039,4206.725,2318231.15,36283883.18,2.2277,沪深300
000300,2020/3/6,4158.202,4181.31,4135.39,4138.507,1724757.17,25316863.2,-1.6216,沪深300
000300,2020/3/9,4063.076,4063.076,3995.131,3997.133,2081020.35,30542873.03,-3.4161,沪深300
000300,2020/3/10,3975.229,4093.002,3954.751,4082.732,1974164.02,29618443.59,2.1415,沪深300
000300,2020/3/11,4090.935,4091.27,4028.396,4028.429,1616561.11,24499087.27,-1.3301,沪深300
000300,2020/3/12,3976.114,3987.434,3926.27,3950.911,1570604.58,23315284.88,-1.9243,沪深300
000300,2020/3/13,3771.014,3937.181,3765.148,3895.313,1882967.22,28021345.32,-1.4072,沪深300
000300,2020/3/16,3899.86,3899.86,3720.513,3727.84,1859682.6,28283623.83,-4.2993,沪深300
000300,2020/3/17,3739.783,3786.891,3618.307,3709.682,1662461.29,25082402.57,-0.4871,沪深300
000300,2020/3/18,3729.685,3775.851,3636.257,3636.257,1550375.47,24412716.15,-1.9793,沪深300
000300,2020/3/19,3623.789,3647.987,3503.187,3589.093,1808074.07,27182746.8,-1.297,沪深300
000300,2020/3/20,3629.513,3663.952,3588.777,3653.224,1396030,21122300,1.7868,沪深300
000300,2020/3/23,3542.684,3585.801,3523.788,3530.306,1371087.9,19766962.5,-3.3646,沪深300
