symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime
sh600004,白云机场,8.900,-0.120,-1.330,8.900,8.910,9.020,9.010,9.020,8.890,5923480,52918424,600004,15:00:01
sh600007,中国国贸,21.080,-0.160,-0.753,21.070,21.080,21.240,21.050,21.290,21.000,3132781,66191273,600007,15:00:01
sh600008,首创环保,3.080,-0.020,-0.645,3.070,3.080,3.100,3.100,3.100,3.060,77255603,237738215,600008,15:00:00
sh600021,上海电力,17.350,-0.410,-2.309,17.350,17.360,17.760,17.760,17.790,17.080,35201284,610228581,600021,15:00:03
sh600032,浙江新能,8.940,-0.430,-4.589,8.930,8.940,9.370,9.410,9.450,8.910,61223739,554651052,600032,15:00:01
sh600038,中直股份,33.440,-0.170,-0.506,33.430,33.440,33.610,33.650,33.680,33.330,3922300,131302209,600038,15:00:00
sh600060,海信视像,22.380,-0.490,-2.143,22.370,22.380,22.870,22.880,23.000,22.290,6997324,157517467,600060,15:00:03
sh600062,华润双鹤,18.570,-0.320,-1.694,18.560,18.570,18.890,18.730,18.840,18.550,10386998,193813449,600062,15:00:01
sh600095,湘财股份,9.080,-0.150,-1.625,9.080,9.090,9.230,9.230,9.280,9.070,13658800,124826093,600095,15:00:00
sh600096,云天化,31.440,-1.230,-3.765,31.430,31.440,32.670,32.720,32.790,31.160,59701955,1882372176,600096,15:00:00
sh600098,广州发展,6.890,-0.270,-3.771,6.880,6.890,7.160,7.160,7.160,6.880,39395524,274476314,600098,15:00:01
sh600109,国金证券,8.270,-0.060,-0.720,8.260,8.270,8.330,8.350,8.380,8.200,16003831,132921968,600109,15:00:01
sh600118,中国卫星,76.850,-1.440,-1.839,76.850,76.860,78.290,79.400,80.280,76.800,28094372,2190897960,600118,15:00:01
sh600126,杭钢股份,8.590,-0.130,-1.491,8.590,8.600,8.720,8.880,8.930,8.470,86784423,752062495,600126,15:00:00
sh600131,国网信通,18.020,0.110,0.614,18.010,18.020,17.910,17.920,18.250,17.410,19511653,347282065,600131,15:00:01
sh600132,重庆啤酒,57.260,-0.730,-1.259,57.260,57.270,57.990,58.330,58.460,57.130,3247357,187466401,600132,15:00:03
sh600141,兴发集团,31.860,-0.980,-2.984,31.850,31.860,32.840,32.960,33.000,31.400,22234695,708503559,600141,15:00:03
sh600143,金发科技,15.850,-0.400,-2.462,15.840,15.850,16.250,16.260,16.330,15.800,39519556,630374567,600143,15:00:01
sh600153,建发股份,8.770,-0.160,-1.792,8.760,8.770,8.930,8.930,8.930,8.690,15344733,134899558,600153,15:00:03
sh600157,永泰能源,1.720,-0.050,-2.825,1.710,1.720,1.770,1.780,1.780,1.710,777574386,1346151382,600157,15:00:03
sh600166,福田汽车,3.000,0.050,1.695,2.990,3.000,2.950,2.940,3.020,2.940,128758704,384845197,600166,15:00:00
sh600170,上海建工,2.670,-0.040,-1.476,2.670,2.680,2.710,2.710,2.720,2.660,116024413,310623605,600170,15:00:03
sh600171,上海贝岭,26.030,-0.360,-1.364,26.030,26.040,26.390,26.500,26.580,26.020,5666036,148405175,600171,15:00:01
sh600177,雅戈尔,7.570,-0.100,-1.304,7.560,7.570,7.670,7.680,7.710,7.550,18831280,143762544,600177,15:00:00
sh600208,衢州发展,3.130,-0.060,-1.881,3.120,3.130,3.190,3.180,3.190,3.110,51119801,160267918,600208,15:00:03
sh600282,南钢股份,5.450,-0.050,-0.909,5.450,5.460,5.500,5.520,5.550,5.440,27593148,151366616,600282,15:00:03
sh600295,鄂尔多斯,14.740,-0.210,-1.405,14.740,14.780,14.950,15.000,15.040,14.710,3761180,55814680,600295,15:00:01
sh600298,安琪酵母,40.670,-0.050,-0.123,40.670,40.680,40.720,40.500,40.860,40.260,4606680,186884267,600298,15:00:01
sh600299,安迪苏,14.030,0.710,5.330,14.020,14.030,13.320,13.310,14.040,13.060,24008797,325837953,600299,15:00:00
sh600312,平高电气,19.910,-0.380,-1.873,19.910,19.920,20.290,20.340,20.600,19.880,15257744,306538930,600312,15:00:03
sh600316,洪都航空,38.290,-0.170,-0.442,38.290,38.300,38.460,38.600,38.690,37.010,9433801,358641355,600316,15:00:03
sh600329,达仁堂,41.100,-0.080,-0.194,41.100,41.110,41.180,41.180,41.310,40.880,2384380,97958735,600329,15:00:03
sh600332,白云山,23.030,-0.130,-0.561,23.020,23.030,23.160,23.100,23.100,22.850,10789362,247644012,600332,15:00:03
sh600339,中油工程,4.700,0.240,5.381,4.690,4.700,4.460,4.600,4.890,4.470,411237271,1896704104,600339,15:00:01
sh600348,华阳股份,8.770,-0.230,-2.556,8.760,8.770,9.000,9.000,9.050,8.720,23127655,203892162,600348,15:00:01
sh600352,浙江龙盛,12.940,-0.280,-2.118,12.940,12.950,13.220,13.200,13.230,12.880,24918689,323312541,600352,15:00:03
sh600363,联创光电,49.310,-0.350,-0.705,49.310,49.320,49.660,50.000,50.000,49.060,3902526,193303837,600363,15:00:00
sh600369,西南证券,4.090,-0.070,-1.683,4.090,4.100,4.160,4.150,4.170,4.080,28767600,118233091,600369,15:00:01
sh600378,昊华科技,31.920,1.390,4.553,31.910,31.920,30.530,30.990,32.330,30.910,10754648,340618291,600378,15:00:01
sh600380,健康元,11.280,-0.180,-1.571,11.270,11.280,11.460,11.400,11.450,11.250,13977650,158536612,600380,15:00:01
sh600390,五矿资本,5.240,-0.010,-0.190,5.240,5.250,5.250,5.360,5.440,5.230,29011516,153921591,600390,15:00:00
sh600392,盛和资源,22.500,0.130,0.581,22.500,22.510,22.370,22.380,22.930,22.190,43848600,989419263,600392,15:00:00
sh600398,海澜之家,6.480,-0.100,-1.520,6.470,6.480,6.580,6.560,6.620,6.460,31354401,204770087,600398,15:00:01
