date,open,high,low,close,volume,amount,outstanding_share,turnover
2020-01-02,2358.77,2385.57,2315.71,2360.2,30667439.0,4038536855.0,3795757968.0,0.00807939791170584
2020-01-03,2351.62,2360.02,2316.06,2332.86,20469248.0,2672531470.0,3795757968.0,0.00539266417210087
2020-01-06,2323.03,2327.5,2296.58,2308.74,25936979.0,3353682073.0,3795757968.0,0.006833148798912039
2020-01-07,2314.1,2342.15,2305.16,2311.77,22327793.0,2901574233.0,3795757968.0,0.0058823015556401775
2020-01-08,2304.98,2318.74,2288.19,2303.2,16180218.0,2083242871.0,3795757968.0,0.004262710672389215
2020-01-09,2305.16,2344.47,2291.76,2336.79,25549057.0,3317934212.0,3795757968.0,0.006730949975048567
2020-01-10,2331.97,2395.4,2331.97,2387.72,42969542.0,5712380856.0,3795757968.0,0.011320411459912135
2020-01-13,2399.16,2501.73,2398.98,2495.65,49604194.0,6847185988.0,3795757968.0,0.01306832374935029
2020-01-14,2503.51,2513.88,2469.56,2475.99,19907317.0,2767444879.0,3795757968.0,0.005244622330461509
2020-01-15,2475.99,2551.94,2475.82,2516.02,23478904.0,3309331110.0,3795757968.0,0.006185564042264562
2020-01-16,2516.02,2537.47,2489.22,2513.52,14535988.0,2046672621.0,3795757968.0,0.0038295350026385034
2020-01-17,2524.24,2533.89,2471.35,2475.82,14847814.0,2068064060.0,3795757968.0,0.0039116861836750285
2020-01-20,2511.55,2513.52,2444.54,2458.12,16753769.0,2308928099.0,3795757968.0,0.004413813826182292
2020-01-21,2439.18,2439.18,2358.95,2369.85,29307308.0,3903226855.0,3795757968.0,0.0077210686895935405
2020-01-22,2340.72,2370.74,2318.74,2353.41,25753051.0,3375415202.0,3795757968.0,0.006784692600821802
2020-01-23,2354.66,2354.66,2233.68,2254.41,41593668.0,5294268764.0,3795757968.0,0.010957934713080736
2020-02-03,2028.9,2028.9,2028.9,2028.9,16763900.0,1903373206.0,3795757968.0,0.004416482858319064
2020-02-04,1947.77,2144.34,1947.77,2046.05,71021426.0,8017646169.0,3795757968.0,0.01871073619517987
2020-02-05,2071.07,2140.76,2038.91,2099.84,38878339.0,4546389351.0,3795757968.0,0.010242575877535508
2020-02-06,2126.47,2143.26,2083.58,2129.15,30655105.0,3619248779.0,3795757968.0,0.008076148494829426
